years,month,day,day_index,cases,deaths
1853,8,5,1,2,2
1853,8,6,2,0,0
1853,8,7,3,6,5
1853,8,8,4,12,7
1853,8,9,5,6,4
1853,8,10,6,5,4
1853,8,11,7,10,7
1853,8,12,8,6,3
1853,8,13,9,16,12
1853,8,14,10,20,13
1853,8,15,11,26,18
1853,8,16,12,35,22
1853,8,17,13,33,21
1853,8,18,14,37,22
1853,8,19,15,41,18
1853,8,20,16,40,25
1853,8,21,17,27,16
1853,8,22,18,40,24
1853,8,23,19,54,25
1853,8,24,20,37,19
1853,8,25,21,40,19
1853,8,26,22,32,15
1853,8,27,23,26,10
1853,8,28,24,26,10
1853,8,29,25,29,13
1853,8,30,26,15,8
1853,8,31,27,14,8
1853,9,1,28,11,7
1853,9,2,29,16,5
1853,9,3,30,8,2
1853,9,4,31,14,7
1853,9,5,32,14,7
1853,9,6,33,7,1
1853,9,7,34,3,0
1853,9,8,35,3,0
1853,9,9,36,3,2
1853,9,10,37,9,7
1853,9,11,38,5,3
1853,9,12,39,4,1
1853,9,13,40,2,2
1853,9,14,41,2,1
1853,9,15,42,4,3
1853,9,16,43,2,2
1853,9,17,44,3,1
1853,9,18,45,1,1
1853,9,19,46,3,1
1853,9,20,47,1,3
1853,9,21,48,2,2
1853,9,22,49,1,0
1853,9,23,50,0,0
1853,9,24,51,1,0
1853,9,25,52,3,0
1853,9,26,53,0,0
1853,9,27,54,0,0
1853,9,28,55,0,0
1853,9,29,56,0,0
1853,9,30,57,0,0
1853,10,1,58,1,0
1853,10,2,59,0,0
1853,10,3,60,0,0
1853,10,4,61,0,0
1853,10,5,62,1,1
1853,10,6,63,0,0
