years,month,day,day_index,cases,deaths
1850,8,1,1,1,0
1850,8,2,2,0,0
1850,8,3,3,0,0
1850,8,4,4,0,0
1850,8,5,5,0,0
1850,8,6,6,0,0
1850,8,7,7,0,0
1850,8,8,8,0,0
1850,8,9,9,0,0
1850,8,10,10,0,0
1850,8,11,11,0,0
1850,8,12,12,0,0
1850,8,13,13,0,0
1850,8,14,14,0,0
1850,8,15,15,1,0
1850,8,16,16,0,1
1850,8,17,17,2,1
1850,8,18,18,0,1
1850,8,19,19,3,0
1850,8,20,20,0,0
1850,8,21,21,0,0
1850,8,22,22,0,0
1850,8,23,23,1,2
1850,8,24,24,2,0
1850,8,25,25,0,1
1850,8,26,26,2,0
1850,8,27,27,0,0
1850,8,28,28,3,1
1850,8,29,30,2,1
1850,8,30,31,5,2
1850,8,31,32,0,2
1850,9,1,33,1,1
1850,9,2,34,1,0
1850,9,3,35,1,0
1850,9,4,36,0,1
1850,9,5,37,0,0
1850,9,6,38,0,0
1850,9,7,39,1,0
1850,9,8,40,0,0
1850,9,9,41,1,0
1850,9,10,42,0,0
1850,9,11,43,0,0
1850,9,12,44,1,0
1850,9,13,45,0,0
1850,9,14,46,0,0
1850,9,15,47,0,0
1850,9,16,48,0,0
1850,9,17,49,0,0
1850,9,18,50,0,0
1850,9,19,51,1,1
1850,9,20,52,0,0
1850,9,21,53,0,1
1850,9,22,54,0,0
1850,9,23,55,0,0
1850,9,24,56,0,0
1850,9,25,57,0,0
1850,9,26,58,0,0
1850,9,27,59,0,0
1850,9,28,60,0,0
1850,9,29,61,0,0
1850,9,30,62,0,0
