years,month,day,day_index,cases,deaths
1853,6,13,1,1,1
1853,6,14,2,0,0
1853,6,15,3,0,0
1853,6,16,4,1,0
1853,6,17,5,0,0
1853,6,18,6,1,1
1853,6,19,7,0,0
1853,6,20,8,7,4
1853,6,21,9,3,2
1853,6,22,10,2,2
1853,6,23,11,3,2
1853,6,24,12,3,1
1853,6,25,13,17,14
1853,6,26,14,4,4
1853,6,27,15,7,4
1853,6,28,16,11,7
1853,6,29,17,19,13
1853,6,30,18,9,4
1853,7,1,19,13,9
1853,7,2,20,31,19
1853,7,3,21,34,30
1853,7,4,22,42,31
1853,7,5,23,27,13
1853,7,6,24,44,34
1853,7,7,25,49,39
1853,7,8,26,49,38
1853,7,9,27,60,42
1853,7,10,28,49,35
1853,7,11,29,84,59
1853,7,12,30,73,48
1853,7,13,31,101,73
1853,7,14,32,153,120
1853,7,15,33,305,229
1853,7,16,34,309,227
1853,7,17,35,284,198
1853,7,18,36,255,180
1853,7,19,37,310,202
1853,7,20,38,333,227
1853,7,21,39,246,175
1853,7,22,40,258,172
1853,7,23,41,221,152
1853,7,24,42,209,140
1853,7,25,43,261,172
1853,7,26,44,270,206
1853,7,27,45,340,217
1853,7,28,46,277,174
1853,7,29,47,226,160
1853,7,30,48,213,141
1853,7,31,49,205,156
1853,8,1,50,147,84
1853,8,2,51,149,92
1853,8,3,52,133,81
1853,8,4,53,121,61
1853,8,5,54,120,67
1853,8,6,55,84,45
1853,8,7,56,59,35
1853,8,8,57,100,52
1853,8,9,58,78,58
1853,8,10,59,61,52
1853,8,11,60,63,37
1853,8,12,61,58,41
1853,8,13,62,47,22
1853,8,14,63,46,25
1853,8,15,64,46,27
1853,8,16,65,45,24
1853,8,17,66,34,17
1853,8,18,67,35,18
1853,8,19,68,33,17
1853,8,20,69,25,9
1853,8,21,70,20,8
1853,8,22,71,21,11
1853,8,23,72,32,18
1853,8,24,73,22,10
1853,8,25,74,29,13
1853,8,26,75,20,13
1853,8,27,76,13,6
1853,8,28,77,11,6
1853,8,29,78,21,8
1853,8,30,79,9,4
1853,8,31,80,10,6
1853,9,1,81,9,4
1853,9,2,82,8,5
1853,9,3,83,8,4
1853,9,4,84,11,8
1853,9,5,85,6,5
1853,9,6,86,5,0
1853,9,7,87,3,2
1853,9,8,88,3,1
1853,9,9,89,0,0
1853,9,10,90,2,1
1853,9,11,91,3,3
1853,9,12,92,4,0
1853,9,13,93,4,0
1853,9,14,94,8,6
1853,9,15,95,8,1
1853,9,16,96,1,0
1853,9,17,97,5,3
1853,9,18,98,6,5
1853,9,19,99,2,2
1853,9,20,100,1,1
1853,9,21,101,0,0
1853,9,22,102,0,0
1853,9,23,103,1,1
1853,9,24,104,1,1
1853,9,25,105,3,3
1853,9,26,106,0,0
1853,9,27,107,0,0
1853,9,28,108,1,0
1853,9,29,109,1,0
1853,9,30,110,1,1
1853,10,1,111,1,1
1853,10,2,112,0,0
1853,10,3,113,0,0
1853,10,4,114,0,0
1853,10,5,115,0,0
1853,10,6,116,0,0
