years,month,day,day_index,cases,deaths
1857,8,20,1,1,1
1857,8,24,2,1,0
1857,8,30,3,3,1
1857,9,1,4,0,0
1857,9,2,5,3,3
1857,9,3,6,3,1
1857,9,4,7,7,3
1857,9,5,8,4,4
1857,9,6,9,9,6
1857,9,7,10,7,6
1857,9,8,11,7,4
1857,9,9,12,18,13
1857,9,10,13,16,11
1857,9,11,14,21,15
1857,9,12,15,32,21
1857,9,13,16,21,17
1857,9,14,17,14,13
1857,9,15,18,15,11
1857,9,16,19,19,12
1857,9,17,20,27,16
1857,9,18,21,12,9
1857,9,19,22,13,7
1857,9,20,23,5,3
1857,9,21,24,6,4
1857,9,22,25,3,2
1857,9,23,26,2,0
1857,9,24,27,1,1
1857,9,25,28,10,7
1857,9,26,29,2,1
1857,9,27,30,1,1
1857,9,28,31,0,0
1857,9,29,32,2,1
1857,9,30,33,1,1
1857,10,1,34,3,3
1857,10,2,35,2,1
1857,10,3,36,1,0
1857,10,8,37,2,2
